"NEED AMMO"                     "KEINE MUNI"
"IT COMES UP HEADS"             "KOPF"
"IT COMES UP TAILS"             "ZAHL"
"FIGHTER"                       "KAEMPFER"
"NORTH"                         "NORDEN"
"VITALITY"                      "GESUNDHEIT"
"CANCEL"                        "ABBRECHEN"
" RESURRECTED"                  " WIEDERBELEBT"
"DRIVE."                        "LAUFWERK."
"SELECT GAME FILE"              "WAHL DES SPIELSTANDS"
" MUMBLES A MEANINGLESS SPELL." " SPRICHT EINEN WIRKUNGSLOSEN ZAUBER AUS."
