#CSB for Windows/Linux Version 15.7
#                  0001 --> Turn Left
#                  0002 --> Turn Right
#                  0003 --> Move Forward
#                  0004 --> Slide Right
#                  0005 --> Move Backward
#                  0006 --> Slide Left
#                  000b --> Leave Inventory Screen
#                  0046 --> Click mouth to feed
#                  0047 --> Click eye to show skills
#                  0050 --> Click in Viewport
#                  0053 --> Select Inventory Screen
#                  006f --> Select Attack Character/option
#                  008c --> Select Disk option from inventory
#                  0093 --> Freeze Game
#                  0094 --> un-Freeze Game
#                  00c9 --> Resume (at prison door)
#                  00d2 --> First Menu option
#                  00d3 --> Second Menu Option
#                  00d4 --> Third Menu Option
#                  0add --> Mouse button up
#                  6665 --> Version Signiture
#                  6666 --> Graphics Signiture
#                  6667 --> Dungeon Signiture
#                  6668 --> SaveGame Signiture
#                  6669 --> LoadGame Signiture
#                  666a --> CSBGraphic Signiture
#                  ffff --> Drag out of chartacter order area
## Parameters you can change
##   #[No]DMRules
##   #[No]ExtraTicks
##   #[No]SpeedLimit //Quick Play
##   #[No]Sleep //Skip over any delays for flashing buttons, etc
##   #FastVBLnn // Set VBL multiplier (go fast); If not equal one then
##              // Only display every third frame.  99 is a special case
##              // that goes fast AND displays every frame
##   #TimerTrace<On/Off>
##   #AITrace<On/Off>
##   #DSATrace<On/Off>
00000000 00ff 0032 00c8 69c80642
00000000 69c8 0642 3333 69c80642
#NoDMRules
#NoDMRules
#DMRules
00000018 1354 c22a 6666 9992370a
00000018 176a 5076 6667 6ca6a8cd
00000018 4210 c71e 6665 c733da14
00000018 006f 0061 0050 bb0b4d8f
00000019 0000 0000 0add 09f9bf3b
00000020 011c 0085 0003 bf787887
00000021 0000 0000 0add 4e2245e5
00000026 011c 0087 0003 1f638b8d
00000027 0000 0000 0add ca27dba3
00000029 00f6 0084 0001 a40e9c5b
0000002a 0000 0000 0add bc8a4ad2
00000030 006f 0053 0050 f463e8ea
00000031 0000 0000 0add f06dadd2
00000036 00ec 0084 0001 734e601c
00000037 0000 0000 0add ab24f587
0000003c 010b 0087 0003 7055c5cc
0000003d 0000 0000 0add 0b0fb470
0000004f 010b 0087 0003 d2c08949
00000050 0000 0000 0add 17943cd0
00000062 010b 0087 0003 3cbf6a91
00000063 0000 0000 0add d8c4d144
00000085 010d 0085 0003 13144db1
00000086 0000 0000 0add e59d78fb
00000088 00f1 0087 0001 d3af1b71
00000089 0000 0000 0add 88fb77cb
0000008b 0115 0088 0003 edafe136
0000008c 0000 0000 0add b428f9a7
00000093 013a 0088 0002 ac2b5024
00000094 0000 0000 0add 20cad6f6
00000097 0126 0088 0002 c87c7769
00000098 0000 0000 0add 8a8280af
0000009f 00f8 0084 0001 c56e5176
000000a0 0000 0000 0add a1f8e133
000000a4 0133 0088 0002 109c41f7
000000a5 0000 0000 0add beec403b
000000a7 011f 0086 0003 0b9503c6
000000a8 0000 0000 0add 172bfb70
000000ab 0132 0088 0002 8e15b780
000000ac 0000 0000 0add 939d0a44
000000b3 0049 0089 0050 2642f64e
000000b4 0000 0000 0add 29181ec5
000000b7 0119 007f 0003 3cf4c30e
000000b8 0000 0000 0add 39415407
000000be 009b 009e 0050 dc5f220f
000000bf 0000 0000 0add 44b406a9
000000c2 00ee 0086 0001 8dced8f1
000000c3 0000 0000 0add 6180b8ad
000000c4 00ee 0086 0001 c51cb64d
000000c5 0000 0000 0add 71e4a278
000000c8 0110 0088 0003 34fbfbe2
000000c9 0000 0000 0add 372d12af
000000cb 00ef 0088 0001 2c38e9f7
000000cc 0000 0000 0add bfa6a239
000000ce 0108 0089 0003 776a14ea
000000cf 0000 0000 0add e97aaf1a
000000d1 011e 008a 0003 271c7f09
000000d2 0000 0000 0add 473a8d78
000000d4 0127 008b 0002 7f91ef26
000000d5 0000 0000 0add 55ddcb88
000000d7 0117 0087 0003 df4813d7
000000d8 0000 0000 0add 312bf772
000000db 4210 c71e 6665 44810698
000000db 00ed 0085 0001 a49ab8c3
000000dc 0000 0000 0add 05e5da8f
000000de 0104 0087 0001 9d582a69
000000df 0000 0000 0add 24b008d6
000000e6 012b 0085 0002 2f3620ad
000000e7 0000 0000 0add a568c330
000000e8 0118 0084 0003 1ecd73ee
000000e9 0000 0000 0add 8c250782
000000eb 0118 0084 0003 4ef64595
000000ec 0000 0000 0add db0f5d5f
000000f1 00ac 0052 0050 a64e1cea
000000f2 0000 0000 0add 6c7a38b3
000000f2 00ac 0052 0050 6c7a38b3
000000f3 0000 0000 0add e1cda254
000000f8 012d 0081 0002 08a48505
000000f9 0000 0000 0add 6c4affd4
000000fa 0117 0080 0003 ea122117
000000fb 0000 0000 0add 9fd7542f
000000ff 0130 0086 0002 af32cbdf
00000100 0000 0000 0add d397c4d2
00000106 0072 0078 0050 06975a53
00000107 0000 0000 0add 0a15c5eb
0000010a 0113 0085 0003 f08d3d36
0000010b 0000 0000 0add a214f8e4
00000112 00fa 0086 0001 147ab92d
00000113 0000 0000 0add be4932b5
00000119 006f 0053 0050 4f142ee2
0000011a 0000 0000 0add 502545ce
0000012e 0086 007a 0051 29c40c6e
0000012f 0000 0000 0add 0a9b1ace
00000143 006f 0053 0050 973bf461
00000144 0000 0000 0add 032b9695
0000014f 00c1 0096 0051 a1a202d6
00000150 0000 0000 0add e5ff50bb
00000158 00fb 0087 0001 520e135c
00000159 0000 0000 0add 14bd4664
0000015c 010e 0087 0003 d08d1c5c
0000015d 0000 0000 0add c3f62950
0000015f 00fc 0085 0001 d73c101a
00000160 0000 0000 0add 4d2a3ee2
00000165 010e 008c 0003 ff30a397
00000166 0000 0000 0add 703104ed
0000016a 0000 0004 2221 ce430024
0000016a 0133 0086 0002 a3970ad3
0000016b 0000 0000 0add db7efc5d
0000016d 011d 0084 0003 84fed961
