#CSB for Windows/Linux Version 15.7
#                  0001 --> Turn Left
#                  0002 --> Turn Right
#                  0003 --> Move Forward
#                  0004 --> Slide Right
#                  0005 --> Move Backward
#                  0006 --> Slide Left
#                  000b --> Leave Inventory Screen
#                  0046 --> Click mouth to feed
#                  0047 --> Click eye to show skills
#                  0050 --> Click in Viewport
#                  0053 --> Select Inventory Screen
#                  006f --> Select Attack Character/option
#                  008c --> Select Disk option from inventory
#                  0093 --> Freeze Game
#                  0094 --> un-Freeze Game
#                  00c9 --> Resume (at prison door)
#                  00d2 --> First Menu option
#                  00d3 --> Second Menu Option
#                  00d4 --> Third Menu Option
#                  0add --> Mouse button up
#                  6665 --> Version Signiture
#                  6666 --> Graphics Signiture
#                  6667 --> Dungeon Signiture
#                  6668 --> SaveGame Signiture
#                  6669 --> LoadGame Signiture
#                  666a --> CSBGraphic Signiture
#                  ffff --> Drag out of chartacter order area
## Parameters you can change
##   #[No]DMRules
##   #[No]ExtraTicks
##   #[No]SpeedLimit //Quick Play
##   #[No]Sleep //Skip over any delays for flashing buttons, etc
##   #FastVBLnn // Set VBL multiplier (go fast); If not equal one then
##              // Only display every third frame.  99 is a special case
##              // that goes fast AND displays every frame
##   #TimerTrace<On/Off>
##   #AITrace<On/Off>
##   #DSATrace<On/Off>
00000000 0101 002f 00c8 0c3f7f84
00000000 0000 1ce0 3333 00001ce0
#NoDMRules
#NoDMRules
#DMRules
#NoDMRules
#NoDMRules
#DMRules
#NoDMRules
#NoDMRules
#DMRules
#NoDMRules
#NoDMRules
#DMRules
00000008 1354 c22a 6666 135033ef
00000008 176a 5076 6667 0481db0e
00000008 4210 c71e 6665 73221581
00000008 0101 002f 0001 778fadb8
0000000c 0000 0000 0001 29e2d101
0000000e 0000 0000 0001 11a3b469
00000017 0000 0000 0003 6d6f5e78
0000001a 0000 0000 0001 00a7de98
0000001f 006f 0053 0050 c27c8474
00000020 0000 0000 0add 46712ae9
00000020 0000 0000 0002 46712ae9
00000022 006f 0061 0050 667dc458
00000023 0000 0000 0add c353f181
00000023 0000 0000 0002 c353f181
00000025 006f 0060 0050 b0949eba
00000026 0000 0000 0add e9a27368
00000029 0071 005d 0002 ef610c76
0000002c 0000 0000 0003 34041377
0000005a 0000 0000 0001 a150b9ac
0000005d 0000 0000 0003 280ccca6
00000067 0000 0000 0003 c5b7710d
00000069 0000 0000 0003 25e0630b
0000006b 0000 0000 0005 0b409aee
0000006e 0000 0000 0005 c185bf82
00000091 0071 005d 0005 dc2dfd92
00000093 0000 0000 0002 e7079b08
00000095 0000 0000 0002 e0f45cd3
0000009a 0000 0000 0001 f8ada2ad
0000009c 0000 0000 0001 dd7fea66
0000009f 0000 0000 0003 2990dc9e
000000b3 0071 005d 0003 8a040327
000000b5 176a 5076 6667 7d540420
000000b5 0000 0000 0001 eb7979ab
000000b7 0000 0000 0003 bed9d538
000000b9 0000 0000 0002 86940462
000000bb 0000 0000 0003 a6ab3cf2
000000bd 0000 0000 0001 6b7f5fc7
000000c0 0000 0000 0004 033354c6
000000c2 0000 0000 0004 c3a47a82
000000c4 0000 0000 0003 eadafed6
000000c6 0000 0000 0003 aac6df07
000000c8 0000 0000 0006 ff405ced
000000cb 0000 0000 0003 b6ed9078
000000cd 0000 0000 0003 293df901
000000ce 0000 0000 0002 0d84a124
000000d0 0000 0000 0003 321f38f1
000000d2 0000 0000 0003 88abc1bf
000000d3 0000 0000 0003 5261e752
000000d5 0000 0000 0003 7d9a74a6
000000d7 0000 0000 0003 98e9afdf
000000d9 0000 0000 0002 9b388949
000000de 006f 0053 0050 cb5fff27
000000df 0000 0000 0add 216f6a51
000000f3 007d 0075 0051 6ba17366
000000f5 0000 0000 0add 5b253c2e
000000f7 0000 0000 0001 5b6cbfd6
000000fa 0000 0000 0001 92627a9a
000000fd 0000 0000 0002 a7e6b07d
000000ff 006f 0075 0050 55eadc1a
00000100 0000 0000 0add 9bb193a6
00000101 0000 0000 0053 62d62575
00000102 0000 0000 0add aa7c8a6d
00000104 0000 0000 000b e6c25a70
00000105 0000 0000 0add ca571966
0000010c 0000 0000 0053 4c5e5e8a
0000010d 0000 0000 0add b3c47a2c
00000114 0000 0000 000b ace0aa22
00000115 0000 0000 0add 4ec205fe
00000116 0043 009e 0050 3f4d7a85
00000117 0000 0000 0add 96c74fd1
00000119 006d 0075 0050 97a17d91
0000011a 0000 0000 0add 276342a1
0000011b 0000 0000 0053 1cb67145
0000011c 0000 0000 0add aea9c44a
0000011f 0000 0000 0038 388c573a
00000120 0000 0000 0add 0b8be5ff
00000121 0000 0000 000b 51ca6726
00000122 176a 5076 6667 5b9352a8
00000122 0000 0000 0add d7287793
00000125 006d 0075 0050 d9d98218
00000126 0000 0000 0add b290d0a6
00000127 0000 0000 0053 56bfbbef
00000128 0000 0000 0add a350f2a3
0000012d 0000 0000 0047 cd28dcdc
0000013b 0000 0000 0add b10cad8c
00000140 0000 0000 002a 0a35e6f6
00000141 0000 0000 0add 07a9a1c4
00000142 0000 0000 000b 7553ab95
00000143 0000 0000 0add 2467d4e0
00000145 0000 0000 0001 36f5e6b4
00000147 0000 0000 0003 d6c1255a
00000149 0000 0000 0002 682d6a5b
0000014b 0000 0000 0003 b1b25f0b
0000014d 0000 0000 0006 91b53a02
00000154 006f 0053 0050 4ce19c27
00000155 0000 0000 0add 4c16a407
0000015a 0080 006d 0051 a4daa8f1
0000015c 0000 0000 0add 660fb86b
00000160 0000 0000 0001 1c062f57
00000163 0000 0000 0003 e6e245f5
00000165 0000 0000 0001 cad4ba19
00000168 0000 0000 0003 f7515bb0
0000016a 0000 0000 0003 42e051ba
0000016c 0000 0000 0002 9c5c2c7e
00000170 0000 0000 0001 b2bc1223
00000173 0000 0000 0001 9987a702
00000176 0000 0000 0003 bf821f96
00000177 0000 0000 0002 dd29e819
0000017b 006f 0053 0050 cc40850a
0000017c 0000 0000 0add 2ae3b018
0000017e 007b 006d 0051 e6836e72
0000017f 0000 0000 0add 34a7f6b2
0000018e 007b 006d 0006 c05e8b0a
00000190 0000 0000 0003 fa19337c
00000192 0000 0000 0001 60a47ac9
00000194 0000 0000 0003 658dedc1
00000196 0000 0000 0002 2fa77244
0000019a 0000 0000 0002 5b711136
0000019d 0000 0000 0003 25dbbfb3
0000019f 0000 0000 0002 d17dc11d
000001a2 0000 0000 0003 586444c8
000001a4 0000 0000 0001 c99a514e
000001a6 0000 0000 0003 046c99ce
000001a8 0000 0000 0003 83a8400d
000001aa 0000 0000 0001 19ffa1b8
000001ad 0000 0000 0002 123a01b0
000001af 0000 0000 0004 69d6e7ba
000001b1 0000 0000 0004 a48d3697
000001b4 0000 0000 0002 ed3f799a
000001b9 006f 0053 0050 fe4dc6e4
000001ba 0000 0000 0add 6d26b17c
000001bc 007b 006c 0051 b1ffd4f0
000001bd 0000 0000 0add 2b375998
000001c5 0000 0000 0002 7d0b42e6
